Compound Name,DiscoveRx Gene Symbol,Entrez Gene Symbol,Percent Control,Compound Concentration (nM)
AKI00000001a,AAK1,AAK1,100,1000
AKI00000001a,ABL1(E255K)-phosphorylated,ABL1,81,1000
AKI00000001a,ABL1(F317I)-nonphosphorylated,ABL1,73,1000
AKI00000001a,ABL1(F317I)-phosphorylated,ABL1,100,1000
AKI00000001a,ABL1(F317L)-nonphosphorylated,ABL1,79,1000
AKI00000001a,ABL1(F317L)-phosphorylated,ABL1,100,1000
AKI00000001a,ABL1(H396P)-nonphosphorylated,ABL1,78,1000
AKI00000001a,ABL1(H396P)-phosphorylated,ABL1,100,1000
AKI00000001a,ABL1(M351T)-phosphorylated,ABL1,100,1000
AKI00000001a,ABL1(Q252H)-nonphosphorylated,ABL1,76,1000
AKI00000001a,ABL1(Q252H)-phosphorylated,ABL1,100,1000
AKI00000001a,ABL1(T315I)-nonphosphorylated,ABL1,100,1000
AKI00000001a,ABL1(T315I)-phosphorylated,ABL1,100,1000
AKI00000001a,ABL1(Y253F)-phosphorylated,ABL1,100,1000
AKI00000001a,ABL1-nonphosphorylated,ABL1,94,1000
AKI00000001a,ABL1-phosphorylated,ABL1,100,1000
AKI00000001a,ABL2,ABL2,100,1000
AKI00000001a,ACVR1,ACVR1,100,1000
AKI00000001a,ACVR1B,ACVR1B,28,1000
AKI00000001a,ACVR2A,ACVR2A,100,1000
AKI00000001a,ACVR2B,ACVR2B,100,1000
AKI00000001a,ACVRL1,ACVRL1,100,1000
AKI00000001a,ADCK3,CABC1,100,1000
AKI00000001a,ADCK4,ADCK4,84,1000
AKI00000001a,AKT1,AKT1,100,1000
AKI00000001a,AKT2,AKT2,100,1000
AKI00000001a,AKT3,AKT3,100,1000
AKI00000001a,ALK,ALK,91,1000
AKI00000001a,ALK(C1156Y),ALK,100,1000
AKI00000001a,ALK(L1196M),ALK,100,1000
AKI00000001a,AMPK-alpha1,PRKAA1,100,1000
AKI00000001a,AMPK-alpha2,PRKAA2,100,1000
AKI00000001a,ANKK1,ANKK1,100,1000
AKI00000001a,ARK5,NUAK1,100,1000
AKI00000001a,ASK1,MAP3K5,100,1000
AKI00000001a,ASK2,MAP3K6,100,1000
AKI00000001a,AURKA,AURKA,100,1000
AKI00000001a,AURKB,AURKB,100,1000
AKI00000001a,AURKC,AURKC,100,1000
AKI00000001a,AXL,AXL,100,1000
AKI00000001a,BIKE,BMP2K,100,1000
AKI00000001a,BLK,BLK,100,1000
AKI00000001a,BMPR1A,BMPR1A,87,1000
AKI00000001a,BMPR1B,BMPR1B,100,1000
AKI00000001a,BMPR2,BMPR2,100,1000
AKI00000001a,BMX,BMX,100,1000
AKI00000001a,BRAF,BRAF,100,1000
AKI00000001a,BRAF(V600E),BRAF,100,1000
AKI00000001a,BRK,PTK6,100,1000
AKI00000001a,BRSK1,BRSK1,94,1000
AKI00000001a,BRSK2,BRSK2,100,1000
AKI00000001a,BTK,BTK,100,1000
AKI00000001a,BUB1,BUB1,100,1000
AKI00000001a,CAMK1,CAMK1,100,1000
AKI00000001a,CAMK1B,PNCK,65,1000
AKI00000001a,CAMK1D,CAMK1D,100,1000
AKI00000001a,CAMK1G,CAMK1G,100,1000
AKI00000001a,CAMK2A,CAMK2A,100,1000
AKI00000001a,CAMK2B,CAMK2B,100,1000
AKI00000001a,CAMK2D,CAMK2D,100,1000
AKI00000001a,CAMK2G,CAMK2G,100,1000
AKI00000001a,CAMK4,CAMK4,100,1000
AKI00000001a,CAMKK1,CAMKK1,97,1000
AKI00000001a,CAMKK2,CAMKK2,100,1000
AKI00000001a,CASK,CASK,100,1000
AKI00000001a,CDC2L1,CDK11B,100,1000
AKI00000001a,CDC2L2,CDC2L2,100,1000
AKI00000001a,CDC2L5,CDK13,100,1000
AKI00000001a,CDK11,CDK19,83,1000
AKI00000001a,CDK2,CDK2,100,1000
AKI00000001a,CDK3,CDK3,92,1000
AKI00000001a,CDK4,CDK4,100,1000
AKI00000001a,CDK4-cyclinD1,CDK4,100,1000
AKI00000001a,CDK4-cyclinD3,CDK4,100,1000
AKI00000001a,CDK5,CDK5,100,1000
AKI00000001a,CDK7,CDK7,100,1000
AKI00000001a,CDK8,CDK8,100,1000
AKI00000001a,CDK9,CDK9,100,1000
AKI00000001a,CDKL1,CDKL1,84,1000
AKI00000001a,CDKL2,CDKL2,100,1000
AKI00000001a,CDKL3,CDKL3,75,1000
AKI00000001a,CDKL5,CDKL5,100,1000
AKI00000001a,CHEK1,CHEK1,100,1000
AKI00000001a,CHEK2,CHEK2,0,1000
AKI00000001a,CIT,CIT,36,1000
AKI00000001a,CLK1,CLK1,98,1000
AKI00000001a,CLK2,CLK2,98,1000
AKI00000001a,CLK3,CLK3,100,1000
AKI00000001a,CLK4,CLK4,100,1000
AKI00000001a,CSF1R,CSF1R,88,1000
AKI00000001a,CSF1R-autoinhibited,CSF1R,100,1000
AKI00000001a,CSK,CSK,100,1000
AKI00000001a,CSNK1A1,CSNK1A1,91,1000
AKI00000001a,CSNK1A1L,CSNK1A1L,100,1000
AKI00000001a,CSNK1D,CSNK1D,43,1000
AKI00000001a,CSNK1E,CSNK1E,67,1000
AKI00000001a,CSNK1G1,CSNK1G1,100,1000
AKI00000001a,CSNK1G2,CSNK1G2,100,1000
AKI00000001a,CSNK1G3,CSNK1G3,100,1000
AKI00000001a,CSNK2A1,CSNK2A1,100,1000
AKI00000001a,CSNK2A2,CSNK2A2,100,1000
AKI00000001a,CTK,MATK,100,1000
AKI00000001a,DAPK1,DAPK1,100,1000
AKI00000001a,DAPK2,DAPK2,100,1000
AKI00000001a,DAPK3,DAPK3,100,1000
AKI00000001a,DCAMKL1,DCLK1,100,1000
AKI00000001a,DCAMKL2,DCLK2,100,1000
AKI00000001a,DCAMKL3,DCLK3,100,1000
AKI00000001a,DDR1,DDR1,92,1000
AKI00000001a,DDR2,DDR2,100,1000
AKI00000001a,DLK,MAP3K12,100,1000
AKI00000001a,DMPK,DMPK,100,1000
AKI00000001a,DMPK2,CDC42BPG,100,1000
AKI00000001a,DRAK1,STK17A,100,1000
AKI00000001a,DRAK2,STK17B,98,1000
AKI00000001a,DYRK1A,DYRK1A,100,1000
AKI00000001a,DYRK1B,DYRK1B,100,1000
AKI00000001a,DYRK2,DYRK2,100,1000
AKI00000001a,EGFR,EGFR,100,1000
AKI00000001a,EGFR(E746-A750del),EGFR,50,1000
AKI00000001a,EGFR(G719C),EGFR,50,1000
AKI00000001a,EGFR(G719S),EGFR,70,1000
AKI00000001a,"EGFR(L747-E749del, A750P)",EGFR,58,1000
AKI00000001a,"EGFR(L747-S752del, P753S)",EGFR,44,1000
AKI00000001a,"EGFR(L747-T751del,Sins)",EGFR,39,1000
AKI00000001a,EGFR(L858R),EGFR,75,1000
AKI00000001a,"EGFR(L858R,T790M)",EGFR,100,1000
AKI00000001a,EGFR(L861Q),EGFR,58,1000
AKI00000001a,EGFR(S752-I759del),EGFR,45,1000
AKI00000001a,EGFR(T790M),EGFR,81,1000
AKI00000001a,EIF2AK1,EIF2AK1,100,1000
AKI00000001a,EPHA1,EPHA1,100,1000
AKI00000001a,EPHA2,EPHA2,100,1000
AKI00000001a,EPHA3,EPHA3,100,1000
AKI00000001a,EPHA4,EPHA4,100,1000
AKI00000001a,EPHA5,EPHA5,100,1000
AKI00000001a,EPHA6,EPHA6,100,1000
AKI00000001a,EPHA7,EPHA7,100,1000
AKI00000001a,EPHA8,EPHA8,100,1000
AKI00000001a,EPHB1,EPHB1,100,1000
AKI00000001a,EPHB2,EPHB2,100,1000
AKI00000001a,EPHB3,EPHB3,100,1000
AKI00000001a,EPHB4,EPHB4,100,1000
AKI00000001a,EPHB6,EPHB6,100,1000
AKI00000001a,ERBB2,ERBB2,89,1000
AKI00000001a,ERBB3,ERBB3,100,1000
AKI00000001a,ERBB4,ERBB4,71,1000
AKI00000001a,ERK1,MAPK3,100,1000
AKI00000001a,ERK2,MAPK1,100,1000
AKI00000001a,ERK3,MAPK6,100,1000
AKI00000001a,ERK4,MAPK4,100,1000
AKI00000001a,ERK5,MAPK7,95,1000
AKI00000001a,ERK8,MAPK15,100,1000
AKI00000001a,ERN1,ERN1,100,1000
AKI00000001a,FAK,PTK2,99,1000
AKI00000001a,FER,FER,98,1000
AKI00000001a,FES,FES,100,1000
AKI00000001a,FGFR1,FGFR1,100,1000
AKI00000001a,FGFR2,FGFR2,100,1000
AKI00000001a,FGFR3,FGFR3,100,1000
AKI00000001a,FGFR3(G697C),FGFR3,100,1000
AKI00000001a,FGFR4,FGFR4,100,1000
AKI00000001a,FGR,FGR,100,1000
AKI00000001a,FLT1,FLT1,100,1000
AKI00000001a,FLT3,FLT3,86,1000
AKI00000001a,FLT3(D835H),FLT3,100,1000
AKI00000001a,FLT3(D835V),FLT3,100,1000
AKI00000001a,FLT3(D835Y),FLT3,100,1000
AKI00000001a,FLT3(ITD),FLT3,84,1000
AKI00000001a,"FLT3(ITD,D835V)",FLT3,100,1000
AKI00000001a,"FLT3(ITD,F691L)",FLT3,100,1000
AKI00000001a,FLT3(K663Q),FLT3,100,1000
AKI00000001a,FLT3(N841I),FLT3,100,1000
AKI00000001a,FLT3(R834Q),FLT3,100,1000
AKI00000001a,FLT3-autoinhibited,FLT3,100,1000
AKI00000001a,FLT4,FLT4,100,1000
AKI00000001a,FRK,FRK,100,1000
AKI00000001a,FYN,FYN,100,1000
AKI00000001a,GAK,GAK,79,1000
AKI00000001a,"GCN2(Kin.Dom.2,S808G)",EIF2AK4,93,1000
AKI00000001a,GRK1,GRK1,88,1000
AKI00000001a,GRK2,ADRBK1,100,1000
AKI00000001a,GRK3,ADRBK2,96,1000
AKI00000001a,GRK4,GRK4,100,1000
AKI00000001a,GRK7,GRK7,100,1000
AKI00000001a,GSK3A,GSK3A,90,1000
AKI00000001a,GSK3B,GSK3B,100,1000
AKI00000001a,HASPIN,GSG2,100,1000
AKI00000001a,HCK,HCK,100,1000
AKI00000001a,HIPK1,HIPK1,100,1000
AKI00000001a,HIPK2,HIPK2,100,1000
AKI00000001a,HIPK3,HIPK3,100,1000
AKI00000001a,HIPK4,HIPK4,100,1000
AKI00000001a,HPK1,MAP4K1,100,1000
AKI00000001a,HUNK,HUNK,77,1000
AKI00000001a,ICK,ICK,100,1000
AKI00000001a,IGF1R,IGF1R,100,1000
AKI00000001a,IKK-alpha,CHUK,100,1000
AKI00000001a,IKK-beta,IKBKB,100,1000
AKI00000001a,IKK-epsilon,IKBKE,100,1000
AKI00000001a,INSR,INSR,100,1000
AKI00000001a,INSRR,INSRR,97,1000
AKI00000001a,IRAK1,IRAK1,100,1000
AKI00000001a,IRAK3,IRAK3,94,1000
AKI00000001a,IRAK4,IRAK4,100,1000
AKI00000001a,ITK,ITK,100,1000
AKI00000001a,JAK1(JH1domain-catalytic),JAK1,100,1000
AKI00000001a,JAK1(JH2domain-pseudokinase),JAK1,74,1000
AKI00000001a,JAK2(JH1domain-catalytic),JAK2,100,1000
AKI00000001a,JAK3(JH1domain-catalytic),JAK3,71,1000
AKI00000001a,JNK1,MAPK8,100,1000
AKI00000001a,JNK2,MAPK9,85,1000
AKI00000001a,JNK3,MAPK10,90,1000
AKI00000001a,KIT,KIT,100,1000
AKI00000001a,KIT(A829P),KIT,100,1000
AKI00000001a,KIT(D816H),KIT,100,1000
AKI00000001a,KIT(D816V),KIT,100,1000
AKI00000001a,KIT(L576P),KIT,100,1000
AKI00000001a,KIT(V559D),KIT,100,1000
AKI00000001a,"KIT(V559D,T670I)",KIT,80,1000
AKI00000001a,"KIT(V559D,V654A)",KIT,100,1000
AKI00000001a,KIT-autoinhibited,KIT,100,1000
AKI00000001a,LATS1,LATS1,100,1000
AKI00000001a,LATS2,LATS2,100,1000
AKI00000001a,LCK,LCK,100,1000
AKI00000001a,LIMK1,LIMK1,100,1000
AKI00000001a,LIMK2,LIMK2,100,1000
AKI00000001a,LKB1,STK11,86,1000
AKI00000001a,LOK,STK10,100,1000
AKI00000001a,LRRK2,LRRK2,100,1000
AKI00000001a,LRRK2(G2019S),LRRK2,100,1000
AKI00000001a,LTK,LTK,100,1000
AKI00000001a,LYN,LYN,100,1000
AKI00000001a,LZK,MAP3K13,100,1000
AKI00000001a,MAK,MAK,93,1000
AKI00000001a,MAP3K1,MAP3K1,100,1000
AKI00000001a,MAP3K15,MAP3K15,96,1000
AKI00000001a,MAP3K2,MAP3K2,90,1000
AKI00000001a,MAP3K3,MAP3K3,100,1000
AKI00000001a,MAP3K4,MAP3K4,99,1000
AKI00000001a,MAP4K2,MAP4K2,100,1000
AKI00000001a,MAP4K3,MAP4K3,88,1000
AKI00000001a,MAP4K4,MAP4K4,77,1000
AKI00000001a,MAP4K5,MAP4K5,100,1000
AKI00000001a,MAPKAPK2,MAPKAPK2,100,1000
AKI00000001a,MAPKAPK5,MAPKAPK5,100,1000
AKI00000001a,MARK1,MARK1,100,1000
AKI00000001a,MARK2,MARK2,100,1000
AKI00000001a,MARK3,MARK3,100,1000
AKI00000001a,MARK4,MARK4,100,1000
AKI00000001a,MAST1,MAST1,100,1000
AKI00000001a,MEK1,MAP2K1,100,1000
AKI00000001a,MEK2,MAP2K2,100,1000
AKI00000001a,MEK3,MAP2K3,100,1000
AKI00000001a,MEK4,MAP2K4,100,1000
AKI00000001a,MEK5,MAP2K5,100,1000
AKI00000001a,MEK6,MAP2K6,100,1000
AKI00000001a,MELK,MELK,100,1000
AKI00000001a,MERTK,MERTK,100,1000
AKI00000001a,MET,MET,95,1000
AKI00000001a,MET(M1250T),MET,100,1000
AKI00000001a,MET(Y1235D),MET,100,1000
AKI00000001a,MINK,MINK1,43,1000
AKI00000001a,MKK7,MAP2K7,100,1000
AKI00000001a,MKNK1,MKNK1,100,1000
AKI00000001a,MKNK2,MKNK2,100,1000
AKI00000001a,MLCK,MYLK3,100,1000
AKI00000001a,MLK1,MAP3K9,100,1000
AKI00000001a,MLK2,MAP3K10,91,1000
AKI00000001a,MLK3,MAP3K11,100,1000
AKI00000001a,MRCKA,CDC42BPA,100,1000
AKI00000001a,MRCKB,CDC42BPB,100,1000
AKI00000001a,MST1,STK4,100,1000
AKI00000001a,MST1R,MST1R,100,1000
AKI00000001a,MST2,STK3,90,1000
AKI00000001a,MST3,STK24,91,1000
AKI00000001a,MST4,MST4,100,1000
AKI00000001a,MTOR,MTOR,100,1000
AKI00000001a,MUSK,MUSK,100,1000
AKI00000001a,MYLK,MYLK,100,1000
AKI00000001a,MYLK2,MYLK2,86,1000
AKI00000001a,MYLK4,MYLK4,72,1000
AKI00000001a,MYO3A,MYO3A,0,1000
AKI00000001a,MYO3B,MYO3B,100,1000
AKI00000001a,NDR1,STK38,88,1000
AKI00000001a,NDR2,STK38L,96,1000
AKI00000001a,NEK1,NEK1,100,1000
AKI00000001a,NEK10,NEK10,100,1000
AKI00000001a,NEK11,NEK11,100,1000
AKI00000001a,NEK2,NEK2,100,1000
AKI00000001a,NEK3,NEK3,92,1000
AKI00000001a,NEK4,NEK4,100,1000
AKI00000001a,NEK5,NEK5,100,1000
AKI00000001a,NEK6,NEK6,100,1000
AKI00000001a,NEK7,NEK7,100,1000
AKI00000001a,NEK9,NEK9,100,1000
AKI00000001a,NIK,MAP3K14,91,1000
AKI00000001a,NIM1,MGC42105,100,1000
AKI00000001a,NLK,NLK,65,1000
AKI00000001a,OSR1,OXSR1,100,1000
AKI00000001a,p38-alpha,MAPK14,0,1000
AKI00000001a,p38-beta,MAPK11,0,1000
AKI00000001a,p38-delta,MAPK13,100,1000
AKI00000001a,p38-gamma,MAPK12,100,1000
AKI00000001a,PAK1,PAK1,94,1000
AKI00000001a,PAK2,PAK2,100,1000
AKI00000001a,PAK3,PAK3,100,1000
AKI00000001a,PAK4,PAK4,100,1000
AKI00000001a,PAK6,PAK6,100,1000
AKI00000001a,PAK7,PAK7,100,1000
AKI00000001a,PCTK1,CDK16,100,1000
AKI00000001a,PCTK2,CDK17,100,1000
AKI00000001a,PCTK3,CDK18,100,1000
AKI00000001a,PDGFRA,PDGFRA,100,1000
AKI00000001a,PDGFRB,PDGFRB,100,1000
AKI00000001a,PDPK1,PDPK1,100,1000
AKI00000001a,PFCDPK1(P.falciparum),CDPK1,100,1000
AKI00000001a,PFPK5(P.falciparum),MAL13P1.279,100,1000
AKI00000001a,PFTAIRE2,CDK15,100,1000
AKI00000001a,PFTK1,CDK14,100,1000
AKI00000001a,PHKG1,PHKG1,97,1000
AKI00000001a,PHKG2,PHKG2,100,1000
AKI00000001a,PIK3C2B,PIK3C2B,100,1000
AKI00000001a,PIK3C2G,PIK3C2G,81,1000
AKI00000001a,PIK3CA,PIK3CA,100,1000
AKI00000001a,PIK3CA(C420R),PIK3CA,90,1000
AKI00000001a,PIK3CA(E542K),PIK3CA,100,1000
AKI00000001a,PIK3CA(E545A),PIK3CA,80,1000
AKI00000001a,PIK3CA(E545K),PIK3CA,67,1000
AKI00000001a,PIK3CA(H1047L),PIK3CA,73,1000
AKI00000001a,PIK3CA(H1047Y),PIK3CA,95,1000
AKI00000001a,PIK3CA(I800L),PIK3CA,87,1000
AKI00000001a,PIK3CA(M1043I),PIK3CA,75,1000
AKI00000001a,PIK3CA(Q546K),PIK3CA,100,1000
AKI00000001a,PIK3CB,PIK3CB,100,1000
AKI00000001a,PIK3CD,PIK3CD,57,1000
AKI00000001a,PIK3CG,PIK3CG,100,1000
AKI00000001a,PIK4CB,PI4KB,100,1000
AKI00000001a,PIKFYVE,PIKFYVE,100,1000
AKI00000001a,PIM1,PIM1,100,1000
AKI00000001a,PIM2,PIM2,100,1000
AKI00000001a,PIM3,PIM3,100,1000
AKI00000001a,PIP5K1A,PIP5K1A,100,1000
AKI00000001a,PIP5K1C,PIP5K1C,100,1000
AKI00000001a,PIP5K2B,PIP4K2B,100,1000
AKI00000001a,PIP5K2C,PIP4K2C,100,1000
AKI00000001a,PKAC-alpha,PRKACA,100,1000
AKI00000001a,PKAC-beta,PRKACB,100,1000
AKI00000001a,PKMYT1,PKMYT1,100,1000
AKI00000001a,PKN1,PKN1,69,1000
AKI00000001a,PKN2,PKN2,100,1000
AKI00000001a,PKNB(M.tuberculosis),pknB,91,1000
AKI00000001a,PLK1,PLK1,100,1000
AKI00000001a,PLK2,PLK2,100,1000
AKI00000001a,PLK3,PLK3,100,1000
AKI00000001a,PLK4,PLK4,100,1000
AKI00000001a,PRKCD,PRKCD,97,1000
AKI00000001a,PRKCE,PRKCE,100,1000
AKI00000001a,PRKCH,PRKCH,100,1000
AKI00000001a,PRKCI,PRKCI,100,1000
AKI00000001a,PRKCQ,PRKCQ,100,1000
AKI00000001a,PRKD1,PRKD1,77,1000
AKI00000001a,PRKD2,PRKD2,87,1000
AKI00000001a,PRKD3,PRKD3,100,1000
AKI00000001a,PRKG1,PRKG1,100,1000
AKI00000001a,PRKG2,PRKG2,100,1000
AKI00000001a,PRKR,EIF2AK2,100,1000
AKI00000001a,PRKX,PRKX,100,1000
AKI00000001a,PRP4,PRPF4B,100,1000
AKI00000001a,PYK2,PTK2B,86,1000
AKI00000001a,QSK,KIAA0999,100,1000
AKI00000001a,RAF1,RAF1,100,1000
AKI00000001a,RET,RET,100,1000
AKI00000001a,RET(M918T),RET,100,1000
AKI00000001a,RET(V804L),RET,100,1000
AKI00000001a,RET(V804M),RET,100,1000
AKI00000001a,RIOK1,RIOK1,100,1000
AKI00000001a,RIOK2,RIOK2,100,1000
AKI00000001a,RIOK3,RIOK3,100,1000
AKI00000001a,RIPK1,RIPK1,98,1000
AKI00000001a,RIPK2,RIPK2,100,1000
AKI00000001a,RIPK4,RIPK4,100,1000
AKI00000001a,RIPK5,DSTYK,100,1000
AKI00000001a,ROCK1,ROCK1,100,1000
AKI00000001a,ROCK2,ROCK2,100,1000
AKI00000001a,ROS1,ROS1,100,1000
AKI00000001a,RPS6KA4(Kin.Dom.1-N-terminal),RPS6KA4,100,1000
AKI00000001a,RPS6KA4(Kin.Dom.2-C-terminal),RPS6KA4,100,1000
AKI00000001a,RPS6KA5(Kin.Dom.1-N-terminal),RPS6KA5,100,1000
AKI00000001a,RPS6KA5(Kin.Dom.2-C-terminal),RPS6KA5,100,1000
AKI00000001a,RSK1(Kin.Dom.1-N-terminal),RPS6KA1,85,1000
AKI00000001a,RSK1(Kin.Dom.2-C-terminal),RPS6KA1,64,1000
AKI00000001a,RSK2(Kin.Dom.1-N-terminal),RPS6KA3,100,1000
AKI00000001a,RSK2(Kin.Dom.2-C-terminal),RPS6KA3,100,1000
AKI00000001a,RSK3(Kin.Dom.1-N-terminal),RPS6KA2,96,1000
AKI00000001a,RSK3(Kin.Dom.2-C-terminal),RPS6KA2,0,1000
AKI00000001a,RSK4(Kin.Dom.1-N-terminal),RPS6KA6,100,1000
AKI00000001a,RSK4(Kin.Dom.2-C-terminal),RPS6KA6,20,1000
AKI00000001a,S6K1,RPS6KB1,100,1000
AKI00000001a,SBK1,SBK1,100,1000
AKI00000001a,SGK,SGK1,100,1000
AKI00000001a,SgK110,SgK110,100,1000
AKI00000001a,SGK2,SGK2,100,1000
AKI00000001a,SGK3,SGK3,100,1000
AKI00000001a,SIK,SIK1,100,1000
AKI00000001a,SIK2,SIK2,69,1000
AKI00000001a,SLK,SLK,93,1000
AKI00000001a,SNARK,NUAK2,100,1000
AKI00000001a,SNRK,SNRK,100,1000
AKI00000001a,SRC,SRC,100,1000
AKI00000001a,SRMS,SRMS,100,1000
AKI00000001a,SRPK1,SRPK1,82,1000
AKI00000001a,SRPK2,SRPK2,100,1000
AKI00000001a,SRPK3,SRPK3,100,1000
AKI00000001a,STK16,STK16,100,1000
AKI00000001a,STK33,STK33,100,1000
AKI00000001a,STK35,STK35,80,1000
AKI00000001a,STK36,STK36,100,1000
AKI00000001a,STK39,STK39,100,1000
AKI00000001a,SYK,SYK,87,1000
AKI00000001a,TAK1,MAP3K7,100,1000
AKI00000001a,TAOK1,TAOK1,100,1000
AKI00000001a,TAOK2,TAOK2,100,1000
AKI00000001a,TAOK3,TAOK3,100,1000
AKI00000001a,TBK1,TBK1,100,1000
AKI00000001a,TEC,TEC,100,1000
AKI00000001a,TESK1,TESK1,79,1000
AKI00000001a,TGFBR1,TGFBR1,22,1000
AKI00000001a,TGFBR2,TGFBR2,100,1000
AKI00000001a,TIE1,TIE1,100,1000
AKI00000001a,TIE2,TEK,100,1000
AKI00000001a,TLK1,TLK1,100,1000
AKI00000001a,TLK2,TLK2,99,1000
AKI00000001a,TNIK,TNIK,46,1000
AKI00000001a,TNK1,TNK1,85,1000
AKI00000001a,TNK2,TNK2,100,1000
AKI00000001a,TNNI3K,TNNI3K,100,1000
AKI00000001a,TRKA,NTRK1,100,1000
AKI00000001a,TRKB,NTRK2,100,1000
AKI00000001a,TRKC,NTRK3,100,1000
AKI00000001a,TRPM6,TRPM6,100,1000
AKI00000001a,TSSK1B,TSSK1B,100,1000
AKI00000001a,TSSK3,TSSK3,100,1000
AKI00000001a,TTK,TTK,100,1000
AKI00000001a,TXK,TXK,81,1000
AKI00000001a,TYK2(JH1domain-catalytic),TYK2,100,1000
AKI00000001a,TYK2(JH2domain-pseudokinase),TYK2,100,1000
AKI00000001a,TYRO3,TYRO3,100,1000
AKI00000001a,ULK1,ULK1,100,1000
AKI00000001a,ULK2,ULK2,100,1000
AKI00000001a,ULK3,ULK3,100,1000
AKI00000001a,VEGFR2,KDR,100,1000
AKI00000001a,VPS34,PIK3C3,100,1000
AKI00000001a,VRK2,VRK2,96,1000
AKI00000001a,WEE1,WEE1,100,1000
AKI00000001a,WEE2,WEE2,100,1000
AKI00000001a,WNK1,WNK1,100,1000
AKI00000001a,WNK2,WNK2,67,1000
AKI00000001a,WNK3,WNK3,100,1000
AKI00000001a,WNK4,WNK4,100,1000
AKI00000001a,YANK1,STK32A,100,1000
AKI00000001a,YANK2,STK32B,100,1000
AKI00000001a,YANK3,STK32C,90,1000
AKI00000001a,YES,YES1,100,1000
AKI00000001a,YSK1,STK25,100,1000
AKI00000001a,YSK4,MAP3K19,100,1000
AKI00000001a,ZAK,ZAK,87,1000
AKI00000001a,ZAP70,ZAP70,100,1000
AKI00000002a,AAK1,AAK1,100,1000
AKI00000002a,ABL1(E255K)-phosphorylated,ABL1,100,1000
AKI00000002a,ABL1(F317I)-nonphosphorylated,ABL1,100,1000
AKI00000002a,ABL1(F317I)-phosphorylated,ABL1,100,1000
AKI00000002a,ABL1(F317L)-nonphosphorylated,ABL1,100,1000
AKI00000002a,ABL1(F317L)-phosphorylated,ABL1,100,1000
AKI00000002a,ABL1(H396P)-nonphosphorylated,ABL1,87,1000
AKI00000002a,ABL1(H396P)-phosphorylated,ABL1,100,1000
AKI00000002a,ABL1(M351T)-phosphorylated,ABL1,100,1000
AKI00000002a,ABL1(Q252H)-nonphosphorylated,ABL1,65,1000
AKI00000002a,ABL1(Q252H)-phosphorylated,ABL1,100,1000
AKI00000002a,ABL1(T315I)-nonphosphorylated,ABL1,100,1000
AKI00000002a,ABL1(T315I)-phosphorylated,ABL1,100,1000
AKI00000002a,ABL1(Y253F)-phosphorylated,ABL1,100,1000
AKI00000002a,ABL1-nonphosphorylated,ABL1,81,1000
AKI00000002a,ABL1-phosphorylated,ABL1,100,1000
AKI00000002a,ABL2,ABL2,100,1000
AKI00000002a,ACVR1,ACVR1,100,1000
AKI00000002a,ACVR1B,ACVR1B,96,1000
AKI00000002a,ACVR2A,ACVR2A,100,1000
AKI00000002a,ACVR2B,ACVR2B,100,1000
AKI00000002a,ACVRL1,ACVRL1,100,1000
AKI00000002a,ADCK3,CABC1,90,1000
AKI00000002a,ADCK4,ADCK4,100,1000
AKI00000002a,AKT1,AKT1,100,1000
AKI00000002a,AKT2,AKT2,100,1000
AKI00000002a,AKT3,AKT3,100,1000
AKI00000002a,ALK,ALK,78,1000
AKI00000002a,ALK(C1156Y),ALK,100,1000
AKI00000002a,ALK(L1196M),ALK,90,1000
AKI00000002a,AMPK-alpha1,PRKAA1,100,1000
AKI00000002a,AMPK-alpha2,PRKAA2,100,1000
AKI00000002a,ANKK1,ANKK1,100,1000
AKI00000002a,ARK5,NUAK1,100,1000
AKI00000002a,ASK1,MAP3K5,100,1000
AKI00000002a,ASK2,MAP3K6,100,1000
AKI00000002a,AURKA,AURKA,99,1000
AKI00000002a,AURKB,AURKB,100,1000
AKI00000002a,AURKC,AURKC,92,1000
AKI00000002a,AXL,AXL,100,1000
AKI00000002a,BIKE,BMP2K,80,1000
AKI00000002a,BLK,BLK,100,1000
AKI00000002a,BMPR1A,BMPR1A,92,1000
AKI00000002a,BMPR1B,BMPR1B,100,1000
AKI00000002a,BMPR2,BMPR2,100,1000
AKI00000002a,BMX,BMX,100,1000
AKI00000002a,BRAF,BRAF,100,1000
AKI00000002a,BRAF(V600E),BRAF,100,1000
AKI00000002a,BRK,PTK6,100,1000
AKI00000002a,BRSK1,BRSK1,93,1000
AKI00000002a,BRSK2,BRSK2,100,1000
AKI00000002a,BTK,BTK,93,1000
AKI00000002a,BUB1,BUB1,100,1000
AKI00000002a,CAMK1,CAMK1,100,1000
AKI00000002a,CAMK1B,PNCK,99,1000
AKI00000002a,CAMK1D,CAMK1D,100,1000
AKI00000002a,CAMK1G,CAMK1G,100,1000
AKI00000002a,CAMK2A,CAMK2A,100,1000
AKI00000002a,CAMK2B,CAMK2B,100,1000
AKI00000002a,CAMK2D,CAMK2D,80,1000
AKI00000002a,CAMK2G,CAMK2G,100,1000
AKI00000002a,CAMK4,CAMK4,100,1000
AKI00000002a,CAMKK1,CAMKK1,100,1000
AKI00000002a,CAMKK2,CAMKK2,100,1000
AKI00000002a,CASK,CASK,100,1000
AKI00000002a,CDC2L1,CDK11B,100,1000
AKI00000002a,CDC2L2,CDC2L2,100,1000
